country;dimension;group;item;lat_mean;lat_var;a;b1;b2;b3;b4
HKG;A;1;A1;0;1;1,301483063;-1,109995641;-0,184785318;0,806639985;2,014396157
HKG;A;1;A2;0;1;1,981934051;-1,457689479;-0,547874022;0,37207583;1,427201507
HKG;A;1;A3;0;1;1,406100488;-1,124906913;-0,081819352;0,584599463;1,921373055
HKG;A;1;A4;0;1;1,981929604;-1,35598199;-0,408506423;0,334831928;1,471044828
HKG;A;1;A5;0;1;1,903972185;-1,369901544;-0,462826884;0,404959741;1,400815282
HKG;A;1;A6;0;1;1,291324667;-1,957574145;-0,902364256;0,109040108;1,376385742
HKG;A;1;A7;0;1;1,145295792;-1,20301761;-0,084808811;0,985120955;2,47271932
HKG;A;1;A8;0;1;2,127255085;-1,351987667;-0,381403973;0,44431517;1,48878818
HKG;A;2;A1;0,192281223;1,030467692;1,301483063;-1,109995641;-0,184785318;0,806639985;2,014396157
HKG;A;2;A2;0,192281223;1,030467692;1,981934051;-1,457689479;-0,547874022;0,37207583;1,427201507
HKG;A;2;A3;0,192281223;1,030467692;1,223679808;-1,644655909;-0,5584682;0,380479202;1,833509117
HKG;A;2;A4;0,192281223;1,030467692;2,261231713;-1,04522003;-0,260939978;0,601888481;1,703543322
HKG;A;2;A5;0,192281223;1,030467692;1,903972185;-1,369901544;-0,462826884;0,404959741;1,400815282
HKG;A;2;A6;0,192281223;1,030467692;1,291324667;-1,957574145;-0,902364256;0,109040108;1,376385742
HKG;A;2;A7;0,192281223;1,030467692;1,145295792;-1,20301761;-0,084808811;0,985120955;2,47271932
HKG;A;2;A8;0,192281223;1,030467692;2,127255085;-1,351987667;-0,381403973;0,44431517;1,48878818
HKG;S;1;S1;0;1;1,119274362;-2,743326887;-1,505817768;-0,196300606;1,393431221
HKG;S;1;S2;0;1;1,390598006;-1,751937673;-0,771119003;0,323585508;1,97751616
HKG;S;1;S3;0;1;2,268892558;-1,43754703;-0,430017858;0,442572465;1,596518408
HKG;S;1;S4;0;1;1,192400178;-2,115510795;-0,907615997;0,451065117;2,406562602
HKG;S;1;S5;0;1;2,796391335;-1,489296266;-0,76699437;0,054416648;1,225429324
HKG;S;1;S6;0;1;1,978749007;-1,538260924;-0,597743353;0,402952944;1,73712862
HKG;S;1;S7;0;1;1,574271506;-1,781295732;-0,579608957;0,411629028;1,890094724
HKG;S;1;S8;0;1;1,82786005;-1,262251992;-0,212221989;0,834825725;2,114709986
HKG;S;2;S1;0,211144977;0,910046968;1,119274362;-2,743326887;-1,505817768;-0,196300606;1,393431221
HKG;S;2;S2;0,211144977;0,910046968;1,560816585;-2,587941309;-1,256840737;-0,044144027;1,230780779
HKG;S;2;S3;0,211144977;0,910046968;2,268892558;-1,43754703;-0,430017858;0,442572465;1,596518408
HKG;S;2;S4;0,211144977;0,910046968;1,192400178;-2,115510795;-0,907615997;0,451065117;2,406562602
HKG;S;2;S5;0,211144977;0,910046968;2,796391335;-1,489296266;-0,76699437;0,054416648;1,225429324
HKG;S;2;S6;0,211144977;0,910046968;1,746264828;-1,786560222;-0,798332304;0,067839209;1,419306073
HKG;S;2;S7;0,211144977;0,910046968;1,859926771;-1,750772387;-0,912904382;-0,037992136;1,284276443
HKG;S;2;S8;0,211144977;0,910046968;1,82786005;-1,262251992;-0,212221989;0,834825725;2,114709986
HKG;E;1;E1;0;1;1,825186576;-0,959004283;-0,004118472;1,070241601;2,27214914
HKG;E;1;E2;0;1;1,839452221;-0,966481683;0,221463615;1,231456886;2,471205224
HKG;E;1;E3;0;1;2,038614056;-1,616162364;-0,588355709;0,226140696;1,451275791
HKG;E;1;E4;0;1;1,2982923;-0,766541302;0,732119894;1,987335367;3,206218374
HKG;E;1;E5;0;1;1,663426827;-2,087100077;-0,887969844;0,001271811;1,34765456
HKG;E;1;E6;0;1;2,271780443;-1,039716865;0,131404772;1,079619419;2,211669803
HKG;E;1;E7;0;1;1,824717583;-0,880740922;0,012110758;1,034680297;1,890211475
HKG;E;1;E8;0;1;1,61979747;-1,603805733;-0,594136006;0,378175746;1,651317913
HKG;E;2;E1;0,209105914;0,769036717;1,825186576;-0,959004283;-0,004118472;1,070241601;2,27214914
HKG;E;2;E2;0,209105914;0,769036717;1,839452221;-0,966481683;0,221463615;1,231456886;2,471205224
HKG;E;2;E3;0,209105914;0,769036717;2,038614056;-1,616162364;-0,588355709;0,226140696;1,451275791
HKG;E;2;E4;0,209105914;0,769036717;1,643641282;-1,169100828;-0,10664674;0,777977096;2,074357768
HKG;E;2;E5;0,209105914;0,769036717;1,819171818;-1,56384812;-0,699173259;0,292974597;1,49719962
HKG;E;2;E6;0,209105914;0,769036717;2,697071761;-1,129070962;-0,333530061;0,499511114;1,439925651
HKG;E;2;E7;0,209105914;0,769036717;1,43847041;-0,711769827;0,415595128;1,590153847;2,916495012
HKG;E;2;E8;0,209105914;0,769036717;1,61979747;-1,603805733;-0,594136006;0,378175746;1,651317913
HKG;C;1;C1;0;1;1,731287939;-0,907521585;-0,019798207;1,043406635;2,544705883
HKG;C;1;C2;0;1;1,780302685;-1,435791592;-0,215493428;0,999114528;2,436477719
HKG;C;1;C3;0;1;1,997431892;-1,273476899;-0,310697046;0,528258133;1,74199532
HKG;C;1;C4;0;1;2,712307619;-1,200530314;-0,117864539;0,722257364;1,685321397
HKG;C;1;C5;0;1;1,752795206;-1,455459676;-0,435912646;0,406819846;1,504306623
HKG;C;1;C6;0;1;1,438661637;-1,598410915;-0,553691445;0,561723551;1,752159779
HKG;C;1;C7;0;1;2,113472189;-0,979063904;-0,038326819;0,877468887;1,915660065
HKG;C;1;C8;0;1;2,671694919;-0,924446199;0,029863511;0,822094939;1,753473486
HKG;C;2;C1;-0,169402199;0,895247938;2,49423722;-1,067706591;-0,276763973;0,62298161;1,783004583
HKG;C;2;C2;-0,169402199;0,895247938;1,780302685;-1,435791592;-0,215493428;0,999114528;2,436477719
HKG;C;2;C3;-0,169402199;0,895247938;2,424523993;-1,031595109;-0,174927713;0,641081705;1,722567499
HKG;C;2;C4;-0,169402199;0,895247938;2,466075247;-1,49256483;-0,576855873;0,369502534;1,458826812
HKG;C;2;C5;-0,169402199;0,895247938;2,15798233;-1,084700008;-0,245648918;0,629942862;1,810672619
HKG;C;2;C6;-0,169402199;0,895247938;1,437509171;-1,241204814;-0,138823343;1,097559385;2,227329879
HKG;C;2;C7;-0,169402199;0,895247938;2,113472189;-0,979063904;-0,038326819;0,877468887;1,915660065
HKG;C;2;C8;-0,169402199;0,895247938;2,908566471;-1,034204591;-0,236198093;0,738970076;1,563817818
IDN;R;1;R1;0;1;0,938257682;-2,881725799;-1,984975071;-0,239226667;1,401466147
IDN;R;1;R2;0;1;1,378067728;-1,082409908;-0,197143093;1,086540697;2,309114443
IDN;R;1;R3;0;1;1,201524851;-1,093508659;-0,028676791;1,11709713;2,433702221
IDN;R;1;R4;0;1;1,575011279;-1,85981366;-0,907244414;-0,038981893;1,053785916
IDN;R;1;R5;0;1;1,820129283;-1,004621943;-0,071476398;0,886436558;2,035447284
IDN;R;1;R6;0;1;2,015392064;-1,18381201;-0,312870138;0,62215261;1,638025938
IDN;R;1;R7;0;1;2,304228175;-1,441335834;-0,495884378;0,34899896;1,303073008
