"dimension","focal_group","item","MH_statistic","p_value","p_adj","Psi_hat","Alpha_hat","SE_log_Psi","rho_spear","significant","noninvariant"
"E","Orthodox Europe","E2",248.863,0,0,0.4232,-0.8599,0.0117,0.55,TRUE,"yes"
"E","Orthodox Europe","E3",101.859,0,0,1.7271,0.5464,0.0385,0.61,TRUE,"yes"
"E","Orthodox Europe","E4",0.296,0.5863,0.5863,0.9713,-0.0291,0.0194,0.46,FALSE,"no"
"E","Orthodox Europe","E5",71.4,0,0,1.5664,0.4487,0.0333,0.522,TRUE,"yes"
"E","Orthodox Europe","E6",7.042,0.008,0.0239,1.1599,0.1483,0.029,0.687,TRUE,"no"
"E","Orthodox Europe","E7",62.408,0,0,0.6614,-0.4134,0.0155,0.557,TRUE,"yes"
"E","Orthodox Europe","E8",52.639,0,0,1.4631,0.3805,0.0319,0.517,TRUE,"yes"
"E","Muslim Middle East","E1",94.671,0,0,1.6111,0.4769,0.0296,0.409,TRUE,"yes"
"E","Muslim Middle East","E2",57.787,0,0,0.7175,-0.332,0.0167,0.558,TRUE,"yes"
"E","Muslim Middle East","E3",179.18,0,0,1.9034,0.6437,0.0404,0.502,TRUE,"yes"
"E","Muslim Middle East","E4",16.494,0,1e-04,0.8458,-0.1674,0.0169,0.475,TRUE,"no"
"E","Muslim Middle East","E5",313.355,0,0,2.3155,0.8396,0.0541,0.412,TRUE,"yes"
"E","Muslim Middle East","E6",0.003,0.9563,1,1.0028,0.0028,0.0249,0.854,FALSE,"no"
"E","Muslim Middle East","E7",33.443,0,0,0.7704,-0.2608,0.0155,0.421,TRUE,"yes"
"E","Muslim Middle East","E8",0.045,0.8313,1,1.0039,0.0039,0.0247,0.859,FALSE,"no"
"C","Asia","C1",4.399,0.036,0.036,1.0551,0.0536,0.0108,0.775,TRUE,"no"
"C","Asia","C2",14.211,2e-04,5e-04,0.9622,-0.0385,0.0093,0.72,TRUE,"no"
"C","Asia","C3",405.265,0,0,1.3988,0.3356,0.015,0.826,TRUE,"yes"
"C","Asia","C4",6.58,0.0103,0.0206,1.0689,0.0666,0.0108,0.784,TRUE,"no"
"C","Asia","C5",51.381,0,0,0.9044,-0.1004,0.0089,0.744,TRUE,"no"
"C","Asia","C6",364.289,0,0,0.7629,-0.2707,0.0073,0.706,TRUE,"yes"
"C","Asia","C7",219.05,0,0,0.8001,-0.223,0.0085,0.763,TRUE,"no"
"C","Asia","C8",389.508,0,0,1.3868,0.327,0.0152,0.816,TRUE,"yes"
"C","Sub Saharan Africa","C1",4.487,0.0342,0.1366,0.9057,-0.0991,0.0304,0.704,TRUE,"no"
"C","Sub Saharan Africa","C2",0.532,0.4658,1,1.0807,0.0776,0.0303,0.632,FALSE,"no"
"C","Sub Saharan Africa","C3",83.068,0,0,1.7789,0.576,0.0628,0.768,TRUE,"yes"
"C","Sub Saharan Africa","C4",6.505,0.0108,0.0538,1.2073,0.1884,0.0372,0.718,TRUE,"no"
"C","Sub Saharan Africa","C5",37.113,0,0,1.4475,0.3699,0.0421,0.646,TRUE,"yes"
"C","Sub Saharan Africa","C6",7.606,0.0058,0.0349,1.213,0.1931,0.0355,0.617,TRUE,"no"
"C","Sub Saharan Africa","C7",0.404,0.525,1,0.9986,-0.0014,0.0306,0.695,FALSE,"no"
"C","Sub Saharan Africa","C8",0.741,0.3893,1,0.9831,-0.017,0.0333,0.757,FALSE,"no"
"C","Catholic West","C1",69.52,0,0,0.7285,-0.3168,0.0153,0.7,TRUE,"yes"
"C","Catholic West","C2",0.79,0.374,0.374,1.048,0.0469,0.0178,0.628,FALSE,"no"
"C","Catholic West","C3",16.302,1e-04,1e-04,1.1811,0.1664,0.0234,0.765,TRUE,"no"
"C","Catholic West","C4",32.809,0,0,0.8209,-0.1974,0.0172,0.712,TRUE,"no"
"C","Catholic West","C5",81.252,0,0,1.407,0.3415,0.0238,0.641,TRUE,"yes"
"C","Catholic West","C6",55.605,0,0,0.7681,-0.2638,0.0137,0.614,TRUE,"yes"
"C","Catholic West","C7",34.98,0,0,0.7917,-0.2335,0.0164,0.691,TRUE,"yes"
"C","Catholic West","C8",111.321,0,0,1.4939,0.4014,0.0335,0.752,TRUE,"yes"
"C","Latin America","C1",20.163,0,0,0.8213,-0.1969,0.0232,0.638,TRUE,"no"
"C","Latin America","C2",0.687,0.4073,0.5161,1.0697,0.0674,0.0269,0.859,FALSE,"no"
"C","Latin America","C3",6.507,0.0107,0.0537,1.1671,0.1545,0.0305,0.687,TRUE,"no"
"C","Latin America","C4",4.975,0.0257,0.0772,0.9216,-0.0817,0.0252,0.628,TRUE,"no"
"C","Latin America","C5",6.284,0.0122,0.0537,1.1566,0.1455,0.026,0.539,TRUE,"no"
"C","Latin America","C6",14.935,1e-04,7e-04,0.8599,-0.1509,0.0195,0.534,TRUE,"no"
"C","Latin America","C7",1.279,0.2581,0.5161,0.9441,-0.0576,0.024,0.837,FALSE,"no"
"C","Latin America","C8",57.182,0,0,1.455,0.375,0.0444,0.689,TRUE,"yes"
"C","Orthodox Europe","C1",57.829,0,0,0.6587,-0.4174,0.0212,0.701,TRUE,"yes"
"C","Orthodox Europe","C2",19.533,0,0,0.7911,-0.2343,0.0217,0.629,TRUE,"yes"
"C","Orthodox Europe","C3",8.922,0.0028,0.0085,1.1944,0.1776,0.0327,0.765,TRUE,"no"
"C","Orthodox Europe","C4",2.113,0.1461,0.1527,0.933,-0.0694,0.0272,0.714,FALSE,"no"
